ID,ANO_NACIMIENTO,RAZA,PADRE,MADRE,INTERPARTO
080215,2008,F1H,H0719,050140AG,40571
080217,2008,F1H,H0719,050185,310
080219,2008,EC,H0719,050107,418
080220,2008,F1H,H0719,050358,40584
080221,2008,F1H,H0719,050169,40628
080222,2008,F1H,H0719,050673AG,335
080224,2008,F1H,H0719,050676,309
080244,2008,F1H,H0719,050503AG,376
080248,2008,F1H,H0719,050193AG,310
080250SD,2008,F1H,,,317
080252SD,2008,F1H,,,335
08082CA,2008,F1H,,CACO,456
088000SD,2008,F1H,,,445
088019SD,2008,F1H,,,378
088048SD,2008,F1H,,,40617
088051SD,2008,F1H,,,40648
088054SD,2008,F1H,,,40623
088067SD,2008,F1H,,,393
088075SD,2008,F1H,,,40632
088076SD,2008,F1H,,,40616
088077SD,2008,F1H,,,40632
088085SD,2008,F1H,,,573
088087SD,2008,F1H,,,40649
088090SD,2008,F1H,,,342
088105SD,2008,F1H,,,40615
088106SD,2008,F1H,,,40650
088108SD,2008,F1H,,,332
088145SD,2008,F1H,,,40613
088154SD,2008,F1H,,,40617
088176SD,2008,F1H,,,40643
088218SD,2008,F1H,,,397
088276CP,2008,F1H,,,369
088371SD,2008,F1H,,,40654
090002HO,2009,F1H,H487,030073AG,457
090003HO,2009,F1H,H489,060343,380
090004HO,2009,F1H,H489,060692,365
090006CP,2009,F1H,,,439
090006HO,2009,F1H,H489,060509,378
090007HO,2009,F1H,H590,060395,433
090008HO,2009,F1H,H487,040157,312
090009HO,2009,F1H,H489,030221,318
090010HO,2009,F1H,H487,020608,329
090011HO,2009,F1H,H489,060012,40647
090012HO,2009,F1H,H489,060477,372
090013HO,2009,F1H,H487,060369,376
090014HO,2009,F1H,H489,030753,315
090015HO,2009,F1H,H487,061054,333
090016CP,2009,F1H,,,357
090016HO,2009,F1H,H590,040810,40676
090017HO,2009,F1H,H590,060685,365
090018HO,2009,F1H,H489,060682,605
090021HO,2009,F1H,H489,060429,388
090023HO,2009,F1H,H489,040532,40662
090024HO,2009,F1H,H489,040302AG,652
090025HO,2009,F1H,H590,030264,40838
090026HO,2009,F1H,H489,020207,561
090027HO,2009,F1H,H489,060947,299
090028HO,2009,F1H,H487,040069,334
090030HO,2009,F1H,H489,030360,682
090031HO,2009,F1H,H489,040052AG,359
090032HO,2009,F1H,H590,040458,487
090033HO,2009,F1H,H489,060708,345
090034HO,2009,F1H,H489,020713AG,359
090035HO,2009,F1H,H489,060415,494
090036HO,2009,F1H,H590,030251,656
090039HO,2009,F1H,H487,060384,313
090040HO,2009,F1H,H489,060788,463
090041HO,2009,F1H,H489,060546,347
090042HO,2009,F1H,H489,061154,315
090043HO,2009,F1H,H489,040516AG,653
090044HO,2009,F1H,H489,030652AG,345
090047HO,2009,F1H,H489,060862,40674
090048HO,2009,F1H,H487,060388,355
090049HO,2009,F1H,H487,060489,410
090050HO,2009,EC,H489,060447,337
090051HO,2009,F1H,H590,060535,336
090052HO,2009,F1H,H489,060326,320
090053HO,2009,F1H,H489,040043,593
090054HO,2009,F1H,H489,040142,320
090055HO,2009,EC,H489,030198,351
090056HO,2009,F1H,H489,060871,395
090057HO,2009,F1H,H489,020565AG,616
090058HO,2009,F1H,H489,060348,679
090059HO,2009,F1H,H590,040723AG,632
090060HO,2009,F1H,H590,060451,576
090061HO,2009,F1H,H489,060525,354
090063HO,2009,F1H,H487,060775,323
090064HO,2009,F1H,H489,030369,40621
090065HO,2009,F1H,H489,060554,419
090069HO,2009,F1H,H489,060596,410
090070HO,2009,F1H,H489,040391,703
090072HO,2009,F1H,H590,060746,343
090073HO,2009,F1H,H590,040161,40670
090074HO,2009,EC,H590,060628,40623
090078HO,2009,F1H,H489,040859AG,310
090079HO,2009,F1H,H489,060443,335
090080HO,2009,F1H,H489,060846,794
090081HO,2009,F1H,H489,030782,0
090082HO,2009,F1H,H487,030673,367
090086HO,2009,F1H,H489,020532,315
090088HO,2009,F1H,H590,990146AG,294
090089HO,2009,F1H,H489,060370,315
090090HO,2009,F1H,H489,040369,533
090091CA,2009,F1H,,,470
090091HO,2009,F1H,H489,060364,369
090092HO,2009,F1H,H489,040549AG,491
090094HO,2009,F1H,H489,030258,482
090097HO,2009,F1H,H487,040443AG,301
090099HO,2009,EC,H590,061059,536
090101HO,2009,F1H,H489,060654,317
090103HO,2009,EC,H489,060411,494
090106HO,2009,F1H,H590,030003AG,511
090107HO,2009,F1H,H489,061017,686
090108HO,2009,F1H,H487,060270,546
090109HO,2009,F1H,H489,040416,639
090110HO,2009,F1H,H489,060529,306
090124HO,2009,F1H,H590,060482,383
090127HO,2009,F1H,H590,061057,369
090128HO,2009,F1H,H489,060881,536
090131HO,2009,F1H,H489,060521,364
090132HO,2009,F1H,H489,060735,382
090137HO,2009,F1H,H590,060955,373
090140HO,2009,F1H,H487,031190,316
090144HO,2009,F1H,H489,060587,454
090145HO,2009,F1H,H489,040079,355
090147HO,2009,F1H,H489,040520,327
090148HO,2009,F1H,H489,060586,659
090150HO,2009,F1H,H489,040090,351
090151HO,2009,F1H,H489,020655,40664
090155HO,2009,F1H,H590,060471,358
090156HO,2009,F1H,H590,040369AG,349
090157HO,2009,EC,H487,060333,566
090159HO,2009,F1H,H489,060541,513
090161HO,2009,F1H,H489,030428AG,531
090162HO,2009,F1H,H489,040653,437
090163CP,2009,F1H,,,647
090164HO,2009,F1H,H487,030661,575
090167HO,2009,EC,H489,060821,558
090170HO,2009,F1H,H489,020770AG,552
090174HO,2009,F1H,H590,030754AG,367
090175HO,2009,F1H,H487,060809,535
090177HO,2009,F1H,H489,060557,349
090178HO,2009,F1H,H489,060593,40663
090179HO,2009,F1H,H489,030884,404
090181HO,2009,F1H,H487,060826,539
090186HO,2009,F1H,HOL,DESC,388
090189HO,2009,F1H,H487,060753,452
090193HO,2009,F1H,H489,060536,738
090195HO,2009,F1H,H489,061046,40577
090198HO,2009,F1H,H489,030795,433
090203HO,2009,F1H,H590,060516,546
090205HO,2009,F1H,H489,010529,640
090206HO,2009,F1H,H487,060707,258
090217HO,2009,F1H,H489,020011AG,752
090218HO,2009,F1H,H489,040822,314
090219HO,2009,F1H,H487,060793,320
090226HO,2009,F1H,H489,040062,40802
090227HO,2009,F1H,H489,030445,306
090228HO,2009,F1H,H489,030445,338
090232HO,2009,F1H,H590,060620,336
090233HO,2009,F1H,H487,040778AG,336
090238HO,2009,EC,H489,060973,40632
090247HO,2009,F1H,H489,061077,405
090250HO,2009,F1H,H489,061099,372
090267HO,2009,F1H,H489,030118,455
090269HO,2009,F1H,H590,040766,519
090270HO,2009,F1H,H487,060520,449
090273HO,2009,F1H,H489,030390,332
090275HO,2009,EC,H487,060661,337
090277HO,2009,F1H,H489,040245AG,637
090294HO,2009,F1H,H489,060444,451
090297HO,2009,F1H,H489,060410,341
090301HO,2009,F1H,H489,060822,0
090302HO,2009,F1H,H489,060486,40630
090303HO,2009,F1H,H489,060904,490
090331HO,2009,F1H,H487,060390,40619
090332HO,2009,F1H,H487,060462,588
090339HO,2009,F1H,H487,060806,464
090343HO,2009,F1H,H489,060782,0
090347HO,2009,F1H,H590,030119,494
090351HO,2009,F1H,H487,060582,378
090356HO,2009,F1H,HOL,040202,515
090368HO,2009,F1H,H590,011188AG,40680
090369HO,2009,F1H,H489,020251,416
090370HO,2009,F1H,H590,040469,40714
090374HO,2009,F1H,H487,030336AG,317
090378HO,2009,F1H,H590,990471,671
090384HO,2009,F1H,H489,990588,483
090385HO,2009,F1H,H489,040392AG,745
090386HO,2009,F1H,H487,020866,350
090387HO,2009,F1H,H487,020485,40741
090388HO,2009,F1H,H489,010595,544
090389HO,2009,F1H,H590,020595,256
090399HO,2009,F1H,H487,950274,355
090400HO,2009,F1H,H497,980408AG,337
090401HO,2009,F1H,H489,020843,725
090402HO,2009,EC,H489,990357,519
090404HO,2009,F1H,H487,000185AG,586
090405HO,2009,F1H,H487,010404,313
090406HO,2009,F1H,H487,040538,413
090407HO,2009,F1H,H590,020229,695
090416HO,2009,F1H,H590,010334AG,40818
090417HO,2009,F1H,H487,001127,330
090418HO,2009,F1H,H487,000243,567
090421HO,2009,F1H,H487,000737,353
090422HO,2009,F1H,H489,020385,420
090424HO,2009,F1H,H487,030240AG,462
090425HO,2009,F1H,H489,020297AG,40681
090427HO,2009,F1H,H487,000414AG,332
090428HO,2009,F1H,H489,960021,523
090431HO,2009,F1H,H487,011060AG,482
090440HO,2009,F1H,H590,990417,40822
090441HO,2009,F1H,H489,980588AG,330
090442HO,2009,F1H,H590,950305,40719
090449HO,2009,F1H,H489,031121,377
090450HO,2009,F1H,H590,030187AG,329
090451HO,2009,F1H,H489,010773AG,386
090452HO,2009,F1H,H489,030061AG,411
090454HO,2009,F1H,H487,040780,328
090455HO,2009,F1H,H487,030201,341
090456HO,2009,F1H,H489,010247AG,40712
090457HO,2009,F1H,H590,00269,365
090461HO,2009,EC,H590,020615,288
090462HO,2009,F1H,H590,010597,391
090466HO,2009,F1H,H489,020456,386
090467HO,2009,F1H,H489,040341,360
090471HO,2009,F1H,H489,030022AG,419
090475HO,2009,F1H,H487,020486AG,459
090476HO,2009,F1H,H590,040244,40732
090479HO,2009,F1H,H590,020425AG,536
090483HO,2009,F1H,H590,011286,40769
090484HO,2009,F1H,H487,000217AG,381
090485HO,2009,F1H,H590,020520,0
090486HO,2009,F1H,H590,000663,358
090495HO,2009,F1H,H590,020551AG,347
090497HO,2009,F1H,H489,010235,40786
090498HO,2009,F1H,H489,020295,594
090506HO,2009,F1H,H487,960918,357
090507HO,2009,EC,H487,970342,540
090509HO,2009,F1H,H487,010720,285
090512HO,2009,F1H,H487,040272,315
090513HO,2009,F1H,H489,020374AG,385
090514HO,2009,F1H,H590,020308,536
090517HO,2009,F1H,H487,030068AG,324
090519HO,2009,F1H,H489,010261,373
090523HO,2009,F1H,H487,980225,363
090536HO,2009,F1H,H590,040551,40721
090537HO,2009,F1H,H489,990771,320
090547HO,2009,F1H,H590,940174,337
090551HO,2009,F1H,H590,031098,732
090566HO,2009,F1H,H489,030059,615
090569HO,2009,EC,H489,040303,331
090581HO,2009,F1H,H487,040316,331
090584HO,2009,F1H,H489,991156AG,308
090586HO,2009,F1H,H487,040011,329
090612HO,2009,F1H,H590,020266AG,323
090614HO,2009,F1H,H487,020335,657
090621HO,2009,F1H,H590,950781,440
090627HO,2009,F1H,H489,010820AG,40781
090631HO,2009,F1H,H489,020138,40736
090640HO,2009,F1H,H590,020175,40754
090641HO,2009,F1H,H487,040348AG,477
090644HO,2009,F1H,H487,031181,40714
090645HO,2009,F1H,H489,990679,359
090648HO,2009,F1H,H489,020950,455
090652HO,2009,F1H,H487,000140AG,477
090678HO,2009,F1H,H489,030449,503
090680HO,2009,F1H,H590,040156AG,367
090683HO,2009,F1H,H487,030183AG,342
090684HO,2009,F1H,H590,020292,458
090685HO,2009,F1H,H487,980022,569
090687HO,2009,F1H,H590,010421AG,406
090689HO,2009,F1H,H489,020117,371
090714HO,2009,F1H,H487,040228,40768
090716HO,2009,EC,H590,030537,372
090721HO,2009,F1H,H590,020306,582
090737HO,2009,F1H,H489,030482AG,330
090740HO,2009,F1H,H487,010810,325
090741HO,2009,F1H,H487,020330AG,315
090742HO,2009,F1H,H489,040160AG,40791
090743JE,2009,F1H,H487,010823AG,189
090744HO,2009,F1H,H489,030391,583
090746HO,2009,F1H,H489,020249,549
090759HO,2009,F1H,H590,020423,318
090766HO,2009,F1H,H487,040308,389
090768HO,2009,F1H,H590,,500
090770HO,2009,F1H,H489,030116AG,0
090779HO,2009,F1H,H489,011240,606
090780HO,2009,F1H,H489,010356,403
090782HO,2009,F1H,H487,010492,40716
090783HO,2009,F1H,H590,950925,345
090796HO,2009,EC,H590,981067,357
090797HO,2009,F1H,H487,000908,365
090798HO,2009,F1H,H590,000889,493
090812HO,2009,F1H,H489,020524AG,452
090814HO,2009,F1H,H487,970736,311
090816CP,2009,F1H,,,590
090825HO,2009,EC,H590,030028,463
090853HO,2009,F1H,H489,030281AG,0
090884HO,2009,F1H,H489,030343AG,575
090895HO,2009,F1H,H489,040195AG,498
09092CA,2009,F1H,,,348
09096CA,2009,F1H,,,353
09097CA,2009,F1H,,,320
099008CP,2009,F1H,,,353
099057CP,2009,F1H,,,310
099235CP,2009,F1H,,,324
099687CP,2009,F1H,,,401
100000HO,2010,F1H,,,41076
100001CP,2010,F1H,,,41441
100001HO,2010,F1H,H0585,040672,339
100002HO,2010,EC,H0585,040613,509
100003HO,2010,F1H,H0584,040567AG,615
100004HO,2010,F1H,H0584,030122AG,40857
100005HO,2010,F1H,H0584,040028AG,40903
100006HO,2010,F1H,HOL,050591AG,357
100007HO,2010,F1H,H0584,050485AG,40907
100008HO,2010,F1H,H0584,050746,407
100009HO,2010,F1H,H0585,040511,417
100010HO,2010,F1H,H0584,050166AG,388
100011HO,2010,F1H,H0584,050062AG,665
100012HO,2010,F1H,H0585,040409AG,40911
100013CP,2010,F1H,,,540
100013HO,2010,F1H,H0585,030688AG,380
100014HO,2010,F1H,H0584,020875AG,448
100015HO,2010,F1H,H0585,030099,445
100016HO,2010,F1H,H0584,010034AG,317
100017HO,2010,F1H,H0584,030355,367
100018HO,2010,F1H,H0585,050489,439
100019HO,2010,F1H,H0585,050778,728
100021HO,2010,F1H,H0585,050104AG,461
100022HO,2010,F1H,H0585,050074AG,365
100023HO,2010,F1H,H0584,040560AG,40883
100024HO,2010,F1H,H0585,020309,317
100025HO,2010,F1H,H0585,050001,389
100026HO,2010,F1H,H0585,050676,374
100027HO,2010,F1H,H0584,050237AG,356
100028HO,2010,F1H,H0584,050876,592
100029HO,2010,F1H,H0585,030583,339
100030HO,2010,F1H,H0584,040630AG,511
100031HO,2010,F1H,H0585,010363,321
100032HO,2010,F1H,H0585,010859AG,333
100033HO,2010,F1H,H0585,040687,367
100034HO,2010,F1H,H0584,040777AG,558
100035HO,2010,F1H,H0585,010817,357
100036HO,2010,F1H,H0585,040178AG,480
100037HO,2010,F1H,H0585,050178AG,535
100038HO,2010,F1H,H0585,050176AG,448
100039HO,2010,F1H,H0584,030571,0
100040HO,2010,F1H,H0584,040402AG,337
100042HO,2010,EC,H0585,050218,416
100043HO,2010,F1H,H0585,030600,760
100044HO,2010,F1H,H0584,030739AG,339
100046JE,2010,F1J,JE0778,050036AG,40942
100047HO,2010,F1H,H0584,040588AG,331
100048CP,2010,F1H,,,41240
100048HO,2010,F1H,H0585,040073,764
100049HO,2010,F1H,H0584,030403,0
100050HO,2010,F1H,H0585,040233AG,0
100051CP,2010,F1H,,,481
100051HO,2010,F1H,H0585,030986,381
100052HO,2010,F1H,H0584,040659AG,328
100053JE,2010,F1J,JE0778,040900AG,336
100054HO,2010,F1H,H0585,050687,472
100055CP,2010,F1H,,,397
100055HO,2010,F1H,H0584,050898AG,500
100056HO,2010,F1H,H0584,010439AG,381
100060HO,2010,F1H,H0585,010936,364
100062HO,2010,F1H,H0584,030143,40963
100063HO,2010,F1H,H0584,030918AG,432
100064HO,2010,F1H,H0585,070920,41028
100065HO,2010,F1H,H0584,040933,41063
100066HO,2010,F1H,H0585,050286AG,496
100067HO,2010,F1H,H0584,070545,522
100068HO,2010,F1H,H0585,070353,369
100069HO,2010,F1H,H0584,050466AG,318
100070HO,2010,F1H,H0584,070429,40944
100071HO,2010,F1H,H0585,020752AG,651
100072HO,2010,F1H,H0585,070403,381
100073HO,2010,F1H,H0585,011083AG,369
100074HO,2010,F1H,H0585,011154AG,328
100075HO,2010,F1H,H0584,050553,578
100076HO,2010,F1H,H0585,030298,376
100077HO,2010,F1H,H0584,040784AG,388
100078HO,2010,F1H,H0585,070471,690
100079HO,2010,F1H,H0585,070559,0
100080HO,2010,F1H,H0585,040192,506
100081HO,2010,F1H,H0584,030356,41073
100082HO,2010,F1H,H0585,030818AG,413
100083HO,2010,F1H,H0585,040747AG,536
100085HO,2010,F1H,H0584,020197,324
100086HO,2010,F1H,H0585,070446,608
100087HO,2010,F1H,H0585,070428,368
100088HO,2010,F1H,H0585,011209AG,40957
100089HO,2010,F1H,H0585,040927,348
100090HO,2010,F1H,H0584,070378AG,41054
100091HO,2010,F1H,H0585,070675,321
100092HO,2010,F1H,H0584,040862,360
100093HO,2010,F1H,H0585,030086AG,451
100094HO,2010,F1H,H0585,990227,494
100096HO,2010,F1H,H0584,040185AG,307
100097HO,2010,F1H,H0585,071101,624
100098HO,2010,F1H,H0584,070393,347
100099HO,2010,F1H,H0584,010200AG,335
100100HO,2010,F1H,H0585,031119,375
100101HO,2010,F1H,H0584,071007,41064
100102HO,2010,F1H,H0585,010156AG,379
100103HO,2010,F1H,H0584,050054AG,236
100104HO,2010,F1H,H0585,011238AG,384
100104ME,2010,F1H,HOL,,311
100105HO,2010,F1H,H0585,050390AG,41012
100106HO,2010,F1H,H0585,031215AG,345
100107HO,2010,F1H,H0585,070584,614
100108HO,2010,F1H,H0585,050385AG,341
100109HO,2010,F1H,H0585,070432,496
100110HO,2010,F1H,H0585,040088,433
100111HO,2010,F1H,H0585,011219,41025
100113HO,2010,F1H,H0584,070520,348
100114JE,2010,F1J,JE0761,040018AG,351
100115HO,2010,F1H,H0584,070747,0
100116JE,2010,F1J,J0778,070517AG,372
100117HO,2010,F1H,H0584,070577,344
100119CP,2010,F1H,,,315
100119JE,2010,F1J,JE0778,030672,522
100120HO,2010,F1H,H0584,040367,428
100121HO,2010,F1H,H0584,040725,370
100122HO,2010,F1H,H0584,070449,41056
100123HO,2010,F1H,H0584,070879,41100
100124JE,2010,F1J,J0778,070437,0
100125HO,2010,F1H,H0584,071182,41064
100126HO,2010,F1H,H0584,070174,41024
100127JE,2010,F1J,JE0778,040042AG,425
100129HO,2010,F1H,H0584,070812,424
100130HO,2010,F1H,H0584,070688,360
100131HO,2010,F1H,H0584,070708,41020
100132HO,2010,F1H,H0584,070978,449
100134HO,2010,F1H,H0584,070856,322
100135CP,2010,F1H,,,41669
100135HO,2010,F1H,H0584,070680,321
100136HO,2010,F1H,H0584,070848,515
100137HO,2010,F1H,H0584,070427,513
100138HO,2010,F1H,H0584,070407,41102
100139HO,2010,F1H,H0584,070991,41031
100140HO,2010,F1H,H0584,070621,41004
100142HO,2010,F1H,H0584,070806,478
100143HO,2010,F1H,H0584,071033,41049
100143ME,2010,F1H,HOL,,569
100145HO,2010,F1H,H0584,070701,0
100147HO,2010,EC,H0584,070744,41046
100148HO,2010,F1H,H0584,070573,401
100150HO,2010,F1H,H0584,070781,560
100151HO,2010,F1H,H0584,071006,41038
100152HO,2010,F1H,H0584,070116,40999
100154HO,2010,F1H,H0584,070636,588
100156HO,2010,F1H,H0584,071132,316
100157HO,2010,F1H,H0584,070709,412
100158HO,2010,F1H,H0585,070940,41053
100160HO,2010,F1H,H0778,071193,327
100164HO,2010,F1H,H0584,070811,41016
100167HO,2010,F1H,H0585,070464,497
100170HO,2010,F1H,H0778,070383,419
100175HO,2010,F1H,H0585,070687,41033
100178HO,2010,F1H,H0584,070934,347
100179HO,2010,F1H,H0585,070896,41007
100184HO,2010,F1H,H0778,070503,41009
100185HO,2010,F1H,H0584,071061,41045
100186HO,2010,F1H,H0589,071045,0
100191HO,2010,F1H,H0584,070516,41064
100193HO,2010,F1H,H0584,070736,324
100195HO,2010,F1H,H0589,070409,308
100196HO,2010,F1H,H0589,070442,807
100197HO,2010,F1H,H0589,071145,572
100199HO,2010,F1H,H0584,071178,441
100200HO,2010,F1H,H0778,070486,352
100201HO,2010,F1H,H0778,070071,357
100202HO,2010,F1H,H0589,070849,338
100203HO,2010,F1H,H0585,070336,328
100204HO,2010,F1H,H0584,070493,41082
100206HO,2010,F1H,H0584,071059,629
100207HO,2010,F1H,H0589,070260,354
100207ME,2010,F1H,HOL,,42519
100208HO,2010,F1H,H0585,070344,332
100209HO,2010,F1H,H0778,070855,301
100213HO,2010,F1H,H0585,071177,41088
100215CP,2010,F1H,,,556
100215HO,2010,F1H,H0584,070639,41146
100217,2011,1/4HOL,,090401HO,0
100218HO,2010,F1H,H0585,070191,382
100225HO,2010,F1H,H0585,070761,412
100226HO,2010,F1H,H0584,071010,41046
100232HO,2010,F1H,H0585,070476,373
100234HO,2010,EC,H0584,070822,332
100235HO,2010,F1H,H0584,070807,318
100237HO,2010,F1H,H0585,071050,41056
100238HO,2010,F1H,H0589,070399,41062
100242CP,2010,F1H,,,390
100245CP,2010,F1H,,,357
100246CP,2010,F1H,,,551
100247CP,2010,F1H,,,373
100249CP,2010,F1H,,,586
100254HO,2010,F1H,H1297,070390,362
100255HO,2010,F1H,H0589,070705,430
100256HO,2010,F1H,H0585,070706,380
100258HO,2010,F1H,H0584,070316,573
100264CP,2010,F1H,,,577
100268HO,2010,F1H,H0585,071142,320
100278CP,2010,F1H,,,445
100280HO,2010,F1H,H0778,070578,41050
100291HO,2010,F1H,H1297,070392,41086
100297HO,2010,F1H,H0585,071108,321
100299HO,2010,F1H,H0585,070095,41055
100301HO,2010,F1H,H0585,070372,335
100309CP,2010,F1H,,,393
100317HO,2010,F1H,H0585,070635,41092
100320HO,2010,F1H,H0585,071135,422
100321HO,2010,F1H,H0584,040723AG,41161
100322HO,2010,F1H,H0585,070384,41155
100328HO,2010,F1H,H0778,070053,312
100332HO,2010,F1H,H0778,070381,41040
100337CP,2010,F1H,,,345
100338HO,2010,F1H,H0778,070123,368
100339CP,2010,F1H,,,41466
100340HO,2010,F1H,H0584,071082,725
100344HO,2010,F1H,H0778,070799,0
100347HO,2010,EC,H0778,070778,333
100351CP,2010,F1H,,,523
100351HO,2010,F1H,H0585,071031,41128
100352CP,2010,F1H,,,542
100352HO,2010,F1H,H0778,071073,655
100369HO,2010,F1H,H0585,070483,0
100370HO,2010,F1H,H0585,070585,327
100373HO,2010,F1H,H0589,070408,501
100377HO,2010,F1H,H0778,071176,447
100387HO,2010,F1H,H0585,070468AG,539
100388HO,2010,F1H,H1297,070759,407
100389HO,2010,F1H,H0585,070913,173
100393HO,2010,F1H,H0585,010247AG,0
100394HO,2010,EC,H0585,070475,323
100402HO,2010,F1H,H1297,070632,41093
100406HO,2010,F1H,H0589,071180,336
100412HO,2010,F1H,H0584,020266AG,376
100413HO,2010,F1H,H0584,050251,713
100417HO,2010,F1H,H1297,071215,343
100419HO,2010,F1H,H1297,070425,321
100423HO,2010,F1H,H0584,020251,322
100424HO,2010,F1H,H0584,030059,41006
100425HO,2010,F1H,H0584,010820AG,582
100426HO,2010,F1H,H0585,010821,0
100429HO,2010,F1H,H0778,020608,41130
100430HO,2010,F1H,H0778,031121,305
100431HO,2010,F1H,H0778,010222,41047
100433HO,2010,F1H,H0589,010597,41053
100434HO,2010,F1H,H0585,040780,436
100435HO,2010,F1H,HOL,010176AG,357
100436HO,2010,F1H,H0585,000414AG,41110
100437HO,2010,F1H,H0584,980588AG,605
100438HO,2010,F1H,H0585,000243,413
100439HO,2010,F1H,H0584,040584,41055
100440HO,2010,F1H,H0778,040272,322
100441HO,2010,F1H,H0778,031181,359
100442HO,2010,F1H,H0778,950305,0
100443HO,2010,F1H,H0589,030068AG,41050
100448HO,2010,F1H,H0585,031190,351
100449HO,2010,F1H,H0584,040160AG,0
100450HO,2010,F1H,H0585,010720,591
100451HO,2010,F1H,H1297,050429AG,364
100452HO,2010,F1H,H0589,070877,364
100458HO,2010,F1H,H0589,040348AG,457
100459HO,2010,F1H,H0778,020485,41073
100460HO,2010,F1H,H0589,050723,338
100461HO,2010,F1H,H0778,020866,376
100463HO,2010,F1H,H0589,030673,41079
100464HO,2010,F1H,H0778,030336AG,41163
100474HO,2010,F1H,H0585,020928,0
100476HO,2010,F1H,H0585,020456,318
100480HO,2010,F1H,H0778,020306,41148
100481HO,2010,F1H,H0585,000140AG,664
100485HO,2010,F1H,H0589,011286,397
100487HO,2010,F1H,H0584,000217AG,41171
100489HO,2010,F1H,H0778,040766,41053
100496HO,2010,F1H,H0584,030449,0
100497HO,2010,F1H,H0778,020011AG,314
100498HO,2010,F1H,H0584,030258,358
100504HO,2010,F1H,H0585,040228,321
100505HO,2010,F1H,H0778,030183AG,308
100509HO,2010,F1H,H0584,030116AG,489
100510HO,2010,F1H,H0589,040458,444
100520HO,2010,F1H,H0584,050175AG,41003
100521HO,2010,EC,H0589,990357,0
100526HO,2010,F1H,H0778,020843,41123
100527HO,2010,EC,HO0681,981067,41100
100529HO,2010,F1H,H0585,010404,433
100530HO,2010,F1H,H0585,040859AG,441
100532HO,2010,F1H,H0584,020532,0
100534HO,2010,F1H,H0585,960918,595
100539HO,2010,F1H,H0778,050266,313
100540HO,2010,F1H,H0585,030281AG,548
100542HO,2010,F1H,H0584,030221,41100
100544HO,2010,F1H,H0585,040244,662
100551HO,2010,EC,H0589,040303,456
100552HO,2010,EC,H0589,040480,41079
100557HO,2010,F1H,H0585,020520,0
100561HO,2010,F1H,H0778,040052AG,41088
100563HO,2010,F1H,H0585,040392AG,420
100564HO,2010,F1H,H0584,050367AG,41119
100576HO,2010,F1H,H0585,040050,41186
100600HO,2010,F1H,H0585,040516AG,41072
100602HO,2010,F1H,H0589,980408AG,382
100603HO,2010,F1H,H0585,040157,41181
100618HO,2010,F1H,H0585,040302AG,437
100620HO,2010,F1H,H0585,030264,41087
100621HO,2010,F1H,H0585,030445,320
100622HO,2010,F1H,H0589,040469,453
100625HO,2010,F1H,H0585,030652AG,442
100626HO,2010,F1H,H0589,010356,629
100629HO,2010,F1H,H0778,020551AG,543
100649HO,2010,F1H,H0778,020860AG,571
100661HO,2010,F1H,H0778,040368,414
100665HO,2010,F1H,H0589,050012AG,41084
100669HO,2010,F1H,H0778,011188AG,304
100671HO,2010,F1H,H0589,030661,392
100674HO,2010,F1H,H0778,030390,191
100678HO,2010,F1H,H0589,000737,335
100681HO,2010,F1H,H0585,040011,332
100682HO,2010,F1H,H0585,001166,539
